variant,case_id,expected,predicted,completed,root_cause_hit,duration_ms,tokens,estimated_cny,error
single,latency-0,latency,latency,True,True,52507.369000002655,13679,0.0136165,
single,oom-0,oom,oom,True,True,24482.464799999434,8621,0.008869,
single,config-0,config,config,False,True,19796.816000001854,9604,0.009549,
single,normal-0,normal,normal,True,True,53717.01070000199,6482,0.006508,
multi,latency-0,latency,latency,True,True,33511.9537999999,9102,0.010160100000000002,
multi,oom-0,oom,oom,True,True,80336.91129999715,14102,0.0147092,
multi,config-0,config,config,True,True,40234.81559999709,14197,0.0140898,
multi,normal-0,normal,unknown,False,False,24913.107399999717,10015,0.0098113,incomplete_tool_coverage
no-rag,latency-0,latency,latency,True,True,21080.37619999959,6774,0.0074674,
no-rag,oom-0,oom,oom,True,True,38809.40360000022,12551,0.012755900000000002,
no-rag,config-0,config,config,True,True,34879.642500000045,12637,0.0125834,
no-rag,normal-0,normal,unknown,True,False,25875.40050000098,10779,0.0103427,
no-reviewer,latency-0,latency,latency,False,True,14408.4385999995,5302,0.005432900000000001,
no-reviewer,oom-0,oom,oom,True,True,22579.481599997962,11413,0.0105535,
no-reviewer,config-0,config,config,True,True,28409.329799997067,12078,0.0110171,
no-reviewer,normal-0,normal,normal,True,True,19257.260899998073,9957,0.009326000000000001,
