variant,case_id,expected,predicted,completed,root_cause_hit,duration_ms,tokens,estimated_cny,error
single,latency-0,latency,latency,False,True,29323.170499999833,10820,0.011496500000000002,
single,oom-0,oom,oom,True,True,28828.883499998483,12619,0.0122175,
single,config-0,config,config,True,True,26489.08300000039,12159,0.012373900000000002,
single,normal-0,normal,normal,True,True,16489.050500000303,6608,0.0066848,
multi,latency-0,latency,latency,True,True,28832.294299998466,7317,0.0083122,
multi,oom-0,oom,oom,True,True,31981.55389999738,13567,0.0137891,
multi,config-0,config,config,True,True,37068.19539999924,14361,0.0146675,
multi,normal-0,normal,normal,True,True,29012.034700001095,10908,0.011031099999999999,
no-rag,latency-0,latency,latency,True,True,38667.812499999854,12239,0.013215,
no-rag,oom-0,oom,oom,True,True,34361.73680000138,11701,0.012165200000000001,
no-rag,config-0,config,config,True,True,41877.719300002354,14045,0.0144128,
no-rag,normal-0,normal,normal,True,True,26076.856399999087,8883,0.009456699999999998,
no-reviewer,latency-0,latency,latency,False,True,29821.750600000087,11554,0.0117835,
no-reviewer,oom-0,oom,oom,True,True,18969.31620000032,10334,0.009563,
no-reviewer,config-0,config,config,False,True,30606.569400002627,9067,0.0094234,
no-reviewer,normal-0,normal,normal,True,True,22550.04360000021,4779,0.004630700000000001,
