variant,case_id,expected,predicted,completed,root_cause_hit,duration_ms,tokens,estimated_cny,error
single,latency-0,latency,latency,True,True,26619.148800000403,12559,0.01273,
single,oom-0,oom,oom,True,True,19013.903000002756,8487,0.008729500000000001,
single,config-0,config,config,True,True,30926.64700000023,7202,0.0074792,
single,normal-0,normal,normal,True,True,17166.335900001286,6374,0.006491900000000001,
multi,latency-0,latency,latency,True,True,41542.41689999981,12458,0.013466200000000001,
multi,oom-0,oom,oom,True,True,37437.710099999094,13111,0.013319800000000001,
multi,config-0,config,config,True,True,33574.43829999829,14232,0.0139316,
multi,normal-0,normal,normal,True,True,39441.9607000018,12035,0.012079,
no-rag,latency-0,latency,latency,True,True,28011.944399997446,10648,0.0106578,
no-rag,oom-0,oom,oom,True,True,38182.57109999831,12337,0.012674000000000001,
no-rag,config-0,config,config,True,True,26838.003000000754,9129,0.0092982,
no-rag,normal-0,normal,normal,True,True,30749.856700000237,11865,0.012119700000000002,
no-reviewer,latency-0,latency,latency,True,True,32408.264200003032,10709,0.010410200000000001,
no-reviewer,oom-0,oom,oom,True,True,25707.175100000313,10962,0.0101091,
no-reviewer,config-0,config,config,True,True,26933.412900001713,9263,0.0086359,
no-reviewer,normal-0,normal,normal,True,True,20176.755100001174,8590,0.0077726,
